Time(s),CH1V,CH2V
-2.500000e-03,4.956267e+00,2.621867e+00
-2.495000e-03,4.973867e+00,2.598400e+00
-2.490000e-03,4.980534e+00,2.568533e+00
-2.485000e-03,4.962934e+00,2.524800e+00
-2.480000e-03,4.991467e+00,2.519467e+00
-2.475000e-03,4.986134e+00,2.474667e+00
-2.470000e-03,4.969600e+00,2.440267e+00
-2.465000e-03,4.979467e+00,2.420000e+00
-2.460000e-03,4.960800e+00,2.378400e+00
-2.455000e-03,4.974934e+00,2.351733e+00
-2.450000e-03,4.973867e+00,2.322933e+00
-2.445000e-03,4.979467e+00,2.297333e+00
-2.440000e-03,4.969600e+00,2.258933e+00
-2.435000e-03,4.971734e+00,2.216267e+00
-2.430000e-03,4.971734e+00,2.194933e+00
-2.425000e-03,4.967200e+00,2.165867e+00
-2.420000e-03,4.978400e+00,2.143467e+00
-2.415000e-03,4.974934e+00,2.090133e+00
-2.410000e-03,4.971734e+00,2.066667e+00
-2.405000e-03,4.959467e+00,2.036800e+00
-2.400000e-03,4.982666e+00,2.006933e+00
-2.395000e-03,4.968266e+00,1.978133e+00
-2.390000e-03,4.978400e+00,1.947200e+00
-2.385000e-03,4.970667e+00,1.914133e+00
-2.380000e-03,4.978400e+00,1.865867e+00
-2.375000e-03,4.961867e+00,1.861600e+00
-2.370000e-03,4.976000e+00,1.810400e+00
-2.365000e-03,4.964000e+00,1.797600e+00
-2.360000e-03,4.969600e+00,1.750667e+00
-2.355000e-03,4.960800e+00,1.722933e+00
-2.350000e-03,4.969600e+00,1.701600e+00
-2.345000e-03,4.967200e+00,1.688800e+00
-2.340000e-03,4.982666e+00,1.656800e+00
-2.335000e-03,4.990400e+00,1.613867e+00
-2.330000e-03,4.989333e+00,1.577600e+00
-2.325000e-03,4.971734e+00,1.556267e+00
-2.320000e-03,4.965067e+00,1.524267e+00
-2.315000e-03,4.984800e+00,1.470933e+00
-2.310000e-03,4.969600e+00,1.462400e+00
-2.305000e-03,4.982666e+00,1.430400e+00
-2.300000e-03,4.969600e+00,1.396267e+00
-2.295000e-03,4.973867e+00,1.360800e+00
-2.290000e-03,4.973867e+00,1.336267e+00
-2.285000e-03,4.978400e+00,1.325600e+00
-2.280000e-03,4.956267e+00,1.276533e+00
-2.275000e-03,4.978400e+00,1.247733e+00
-2.270000e-03,4.967200e+00,1.210400e+00
-2.265000e-03,4.980534e+00,1.188000e+00
-2.260000e-03,4.969600e+00,1.152800e+00
-2.255000e-03,4.980534e+00,1.137867e+00
-2.250000e-03,4.982666e+00,1.114400e+00
-2.245000e-03,4.989333e+00,1.095200e+00
-2.240000e-03,4.978400e+00,1.045867e+00
-2.235000e-03,4.972800e+00,1.013867e+00
-2.230000e-03,3.934400e+00,9.818667e-01
-2.225000e-03,1.944000e-01,9.274667e-01
-2.220000e-03,-2.053333e-02,9.605333e-01
-2.215000e-03,-3.813333e-02,9.829333e-01
-2.210000e-03,-4.906667e-02,1.009600e+00
-2.205000e-03,-3.920000e-02,1.036267e+00
-2.200000e-03,-4.240000e-02,1.075733e+00
-2.195000e-03,-3.573333e-02,1.109067e+00
-2.190000e-03,-3.360000e-02,1.137867e+00
-2.185000e-03,-2.933333e-02,1.173067e+00
-2.180000e-03,-3.813333e-02,1.208267e+00
-2.175000e-03,-2.800000e-02,1.236000e+00
-2.170000e-03,-3.573333e-02,1.272267e+00
-2.165000e-03,-1.173333e-02,1.303200e+00
-2.160000e-03,-2.053333e-02,1.332000e+00
-2.155000e-03,-4.026667e-02,1.364000e+00
-2.150000e-03,-3.146667e-02,1.387733e+00
-2.145000e-03,-1.920000e-02,1.415467e+00
-2.140000e-03,-2.053333e-02,1.447467e+00
-2.135000e-03,-3.040000e-02,1.481600e+00
-2.130000e-03,-4.240000e-02,1.517867e+00
-2.125000e-03,-2.933333e-02,1.549867e+00
-2.120000e-03,-2.053333e-02,1.588267e+00
-2.115000e-03,-1.600000e-02,1.606400e+00
-2.110000e-03,-3.813333e-02,1.646133e+00
-2.105000e-03,-3.573333e-02,1.674933e+00
-2.100000e-03,-3.360000e-02,1.703733e+00
-2.095000e-03,-3.040000e-02,1.740000e+00
-2.090000e-03,-3.360000e-02,1.774133e+00
-2.085000e-03,-2.933333e-02,1.778400e+00
-2.080000e-03,-3.813333e-02,1.827467e+00
-2.075000e-03,-1.600000e-02,1.864800e+00
-2.070000e-03,-3.573333e-02,1.902133e+00
-2.065000e-03,-4.240000e-02,1.915200e+00
-2.060000e-03,-2.053333e-02,1.964267e+00
-2.055000e-03,-2.933333e-02,1.981333e+00
-2.050000e-03,-3.146667e-02,2.004800e+00
-2.045000e-03,-2.800000e-02,2.056000e+00
-2.040000e-03,-3.813333e-02,2.088000e+00
-2.035000e-03,-4.133333e-02,2.115733e+00
-2.030000e-03,-5.333333e-02,2.147733e+00
-2.025000e-03,-4.133333e-02,2.175467e+00
-2.020000e-03,-3.813333e-02,2.186133e+00
-2.015000e-03,-3.813333e-02,2.231200e+00
-2.010000e-03,-6.000000e-02,2.256800e+00
-2.005000e-03,-4.906667e-02,2.295200e+00
-2.000000e-03,-3.813333e-02,2.331467e+00
-1.995000e-03,-3.253333e-02,2.354933e+00
-1.990000e-03,-3.813333e-02,2.391200e+00
-1.985000e-03,-2.266667e-02,2.424267e+00
-1.980000e-03,-6.000000e-02,2.438133e+00
-1.975000e-03,-2.586667e-02,2.485333e+00
-1.970000e-03,-4.026667e-02,2.517333e+00
-1.965000e-03,-2.480000e-02,2.545067e+00
-1.960000e-03,-4.240000e-02,2.587733e+00
-1.955000e-03,-4.346667e-02,2.616533e+00
-1.950000e-03,-2.693333e-02,2.628267e+00
-1.945000e-03,-3.813333e-02,2.670933e+00
-1.940000e-03,-3.360000e-02,2.707200e+00
-1.935000e-03,-5.573333e-02,2.734133e+00
-1.930000e-03,-4.453333e-02,2.758667e+00
-1.925000e-03,-5.120000e-02,2.798133e+00
-1.920000e-03,-3.813333e-02,2.831200e+00
-1.915000e-03,-3.466667e-02,2.858933e+00
-1.910000e-03,-2.053333e-02,2.882400e+00
-1.905000e-03,-3.253333e-02,2.912267e+00
-1.900000e-03,-3.813333e-02,2.942133e+00
-1.895000e-03,-3.040000e-02,2.980533e+00
-1.890000e-03,-4.453333e-02,3.023467e+00
-1.885000e-03,-1.920000e-02,3.040533e+00
-1.880000e-03,-6.453333e-02,3.078933e+00
-1.875000e-03,-2.693333e-02,3.104533e+00
-1.870000e-03,-2.480000e-02,3.136533e+00
-1.865000e-03,-2.586667e-02,3.178133e+00
-1.860000e-03,-3.360000e-02,3.202667e+00
-1.855000e-03,-3.920000e-02,3.228267e+00
-1.850000e-03,-3.573333e-02,3.258133e+00
-1.845000e-03,-2.933333e-02,3.290400e+00
-1.840000e-03,-4.240000e-02,3.318133e+00
-1.835000e-03,-2.693333e-02,3.348000e+00
-1.830000e-03,-3.360000e-02,3.369333e+00
-1.825000e-03,-3.920000e-02,3.421600e+00
-1.820000e-03,-4.240000e-02,3.433333e+00
-1.815000e-03,-4.346667e-02,3.467467e+00
-1.810000e-03,-3.360000e-02,3.493067e+00
-1.805000e-03,-2.693333e-02,3.526133e+00
-1.800000e-03,-2.053333e-02,3.565867e+00
-1.795000e-03,-3.573333e-02,3.580800e+00
-1.790000e-03,-3.360000e-02,3.619200e+00
-1.785000e-03,3.120000e-02,3.629867e+00
-1.780000e-03,4.436533e+00,3.702400e+00
-1.775000e-03,4.959467e+00,3.686400e+00
-1.770000e-03,4.989333e+00,3.640533e+00
-1.765000e-03,4.991467e+00,3.626667e+00
-1.760000e-03,4.969600e+00,3.604267e+00
-1.755000e-03,4.986134e+00,3.563733e+00
-1.750000e-03,4.976000e+00,3.520800e+00
-1.745000e-03,4.989333e+00,3.493067e+00
-1.740000e-03,4.973867e+00,3.458933e+00
-1.735000e-03,4.982666e+00,3.431200e+00
-1.730000e-03,4.978400e+00,3.382133e+00
-1.725000e-03,4.967200e+00,3.360800e+00
-1.720000e-03,4.956267e+00,3.335200e+00
-1.715000e-03,4.970667e+00,3.296800e+00
-1.710000e-03,4.976000e+00,3.270933e+00
-1.705000e-03,4.976000e+00,3.245333e+00
-1.700000e-03,4.960800e+00,3.198400e+00
-1.695000e-03,4.979467e+00,3.199467e+00
-1.690000e-03,4.971734e+00,3.147200e+00
-1.685000e-03,4.986134e+00,3.105600e+00
-1.680000e-03,4.982666e+00,3.078933e+00
-1.675000e-03,4.976000e+00,3.039467e+00
-1.670000e-03,4.962934e+00,3.006133e+00
-1.665000e-03,4.961867e+00,2.979467e+00
-1.660000e-03,4.978400e+00,2.950667e+00
-1.655000e-03,4.977334e+00,2.920800e+00
-1.650000e-03,4.976000e+00,2.893067e+00
-1.645000e-03,4.982666e+00,2.878133e+00
-1.640000e-03,4.982666e+00,2.839733e+00
-1.635000e-03,4.969600e+00,2.806667e+00
-1.630000e-03,4.971734e+00,2.762933e+00
-1.625000e-03,4.978400e+00,2.738400e+00
-1.620000e-03,4.978400e+00,2.698667e+00
-1.615000e-03,4.997066e+00,2.675200e+00
-1.610000e-03,4.976000e+00,2.643200e+00
-1.605000e-03,4.973867e+00,2.603733e+00
-1.600000e-03,4.960800e+00,2.579200e+00
-1.595000e-03,4.981600e+00,2.545067e+00
-1.590000e-03,4.973867e+00,2.508800e+00
-1.585000e-03,4.980534e+00,2.483200e+00
-1.580000e-03,4.973867e+00,2.464000e+00
-1.575000e-03,4.965067e+00,2.437067e+00
-1.570000e-03,4.973867e+00,2.386933e+00
-1.565000e-03,4.969600e+00,2.348533e+00
-1.560000e-03,4.978400e+00,2.340000e+00
-1.555000e-03,4.968266e+00,2.286667e+00
-1.550000e-03,4.980534e+00,2.252533e+00
-1.545000e-03,4.971734e+00,2.229067e+00
-1.540000e-03,4.969600e+00,2.194933e+00
-1.535000e-03,4.965067e+00,2.176533e+00
-1.530000e-03,4.969600e+00,2.145600e+00
-1.525000e-03,4.973867e+00,2.099733e+00
-1.520000e-03,4.969600e+00,2.075200e+00
-1.515000e-03,4.979467e+00,2.040000e+00
-1.510000e-03,4.976000e+00,2.026133e+00
-1.505000e-03,4.966134e+00,1.978133e+00
-1.500000e-03,4.978400e+00,1.938667e+00
-1.495000e-03,4.976000e+00,1.915200e+00
-1.490000e-03,4.971734e+00,1.893600e+00
-1.485000e-03,4.979467e+00,1.860533e+00
-1.480000e-03,4.987200e+00,1.806133e+00
-1.475000e-03,4.982666e+00,1.794400e+00
-1.470000e-03,4.967200e+00,1.774133e+00
-1.465000e-03,4.978400e+00,1.729333e+00
-1.460000e-03,4.973867e+00,1.695200e+00
-1.455000e-03,4.970667e+00,1.673867e+00
-1.450000e-03,4.980534e+00,1.650400e+00
-1.445000e-03,4.967200e+00,1.624533e+00
-1.440000e-03,4.991467e+00,1.584000e+00
-1.435000e-03,4.979467e+00,1.561600e+00
-1.430000e-03,4.998133e+00,1.528533e+00
-1.425000e-03,4.982666e+00,1.516800e+00
-1.420000e-03,4.973867e+00,1.460267e+00
-1.415000e-03,4.974934e+00,1.448533e+00
