Time(s),CH1V,CH2V
-3.780000e-04,3.866667e-03,-9.840000e-05
-3.770000e-04,3.866667e-03,-9.333333e-05
-3.760000e-04,1.866667e-03,-1.069333e-04
-3.750000e-04,2.933333e-03,-1.485333e-04
-3.740000e-04,3.600000e-03,-1.320000e-04
-3.730000e-04,2.533333e-03,-1.298667e-04
-3.720000e-04,1.200000e-03,-5.813333e-05
-3.710000e-04,2.933333e-03,-1.306667e-04
-3.700000e-04,5.200000e-03,-1.600000e-04
-3.690000e-04,1.866667e-03,-1.109333e-04
-3.680000e-04,2.266667e-03,-6.053333e-05
-3.670000e-04,2.666667e-03,-6.426666e-05
-3.660000e-04,4.533333e-03,-2.042667e-04
-3.650000e-04,3.333333e-03,-1.498667e-04
-3.640000e-04,4.000000e-04,-1.344000e-04
-3.630000e-04,2.800000e-03,-1.552000e-04
-3.620000e-04,3.600000e-03,-1.845333e-04
-3.610000e-04,2.666667e-03,-1.493333e-04
-3.600000e-04,9.333334e-04,-7.653333e-05
-3.590000e-04,2.800000e-03,-1.656000e-04
-3.580000e-04,3.733333e-03,-1.013333e-04
-3.570000e-04,2.933333e-03,-6.720000e-05
-3.560000e-04,1.200000e-03,-8.773333e-05
-3.550000e-04,2.400000e-03,-7.146667e-05
-3.540000e-04,4.933333e-03,-1.557333e-04
-3.530000e-04,1.866667e-03,-1.248000e-04
-3.520000e-04,4.000000e-04,-4.293333e-05
-3.510000e-04,4.266667e-03,-2.040000e-04
-3.500000e-04,4.400000e-03,-1.984000e-04
-3.490000e-04,2.666667e-03,2.933333e-06
-3.480000e-04,1.600000e-03,-5.546667e-05
-3.470000e-04,3.333333e-03,-1.381333e-04
-3.460000e-04,4.400000e-03,-9.199999e-05
-3.450000e-04,2.533333e-03,-1.829333e-04
-3.440000e-04,2.266667e-03,-1.394667e-04
-3.430000e-04,2.533333e-03,-1.456000e-04
-3.420000e-04,3.466667e-03,-1.050667e-04
-3.410000e-04,3.600000e-03,-1.336000e-04
-3.400000e-04,1.333333e-03,-7.466666e-05
-3.390000e-04,2.666667e-03,-1.378667e-04
-3.380000e-04,4.533333e-03,-2.853333e-05
-3.370000e-04,2.666667e-03,-1.496000e-04
-3.360000e-04,6.666667e-04,-1.192000e-04
-3.350000e-04,2.533333e-03,-1.165333e-04
-3.340000e-04,4.800000e-03,-2.186667e-04
-3.330000e-04,2.933333e-03,-2.112000e-04
-3.320000e-04,1.333333e-03,1.680000e-05
-3.310000e-04,3.466667e-03,-1.066667e-04
-3.300000e-04,4.533333e-03,-1.248000e-04
-3.290000e-04,3.333333e-03,-2.173333e-04
-3.280000e-04,1.066667e-03,-1.256000e-04
-3.270000e-04,1.866667e-03,-1.973333e-05
-3.260000e-04,5.333333e-03,-4.773333e-05
-3.250000e-04,2.400000e-03,-1.882667e-04
-3.240000e-04,1.466667e-03,-1.136000e-04
-3.230000e-04,3.466667e-03,-1.152000e-04
-3.220000e-04,4.533333e-03,-1.077333e-04
-3.210000e-04,1.866667e-03,-1.418667e-04
-3.200000e-04,4.000000e-04,-3.973333e-05
-3.190000e-04,1.866667e-03,-1.754667e-04
-3.180000e-04,4.533333e-03,-1.493333e-04
-3.170000e-04,2.400000e-03,-9.973333e-05
-3.160000e-04,1.466667e-03,-5.013333e-05
-3.150000e-04,1.733333e-03,-2.000000e-04
-3.140000e-04,5.200000e-03,-1.184000e-04
-3.130000e-04,2.800000e-03,-1.816000e-04
-3.120000e-04,1.200000e-03,-2.186667e-04
-3.110000e-04,2.400000e-03,2.213333e-05
-3.100000e-04,5.333333e-03,-1.365333e-04
-3.090000e-04,2.800000e-03,-1.562667e-04
-3.080000e-04,1.333333e-03,-1.226667e-04
-3.070000e-04,1.600000e-03,-1.650667e-04
-3.060000e-04,3.733333e-03,-9.866666e-05
-3.050000e-04,2.533333e-03,-1.120000e-04
-3.040000e-04,6.666667e-04,-5.573333e-05
-3.030000e-04,2.400000e-03,-1.053333e-04
-3.020000e-04,4.266667e-03,-7.040000e-05
-3.010000e-04,2.666667e-03,-9.146667e-05
-3.000000e-04,-5.333333e-04,-1.133333e-04
-2.990000e-04,3.600000e-03,-1.973333e-04
-2.980000e-04,5.066667e-03,-1.954667e-04
-2.970000e-04,2.933333e-03,-4.000000e-05
-2.960000e-04,1.866667e-03,-2.266667e-04
-2.950000e-04,2.533333e-03,-1.786667e-04
-2.940000e-04,3.333333e-03,-8.666667e-05
-2.930000e-04,2.533333e-03,-5.813333e-05
-2.920000e-04,5.333333e-04,-2.298667e-04
-2.910000e-04,2.800000e-03,-1.301333e-04
-2.900000e-04,5.600000e-03,-1.114667e-04
-2.890000e-04,2.400000e-03,-1.061333e-04
-2.880000e-04,9.333334e-04,-1.648000e-04
-2.870000e-04,2.666667e-03,-1.085333e-04
-2.860000e-04,4.400000e-03,-1.106667e-04
-2.850000e-04,2.800000e-03,-1.552000e-04
-2.840000e-04,1.200000e-03,-2.248000e-04
-2.830000e-04,3.600000e-03,-1.053333e-04
-2.820000e-04,5.333333e-03,-1.160000e-04
-2.810000e-04,2.266667e-03,-8.506666e-05
-2.800000e-04,8.000000e-04,-4.586667e-05
-2.790000e-04,3.333333e-03,-1.128000e-04
-2.780000e-04,5.333333e-03,-2.088000e-04
-2.770000e-04,2.400000e-03,-1.352000e-04
-2.760000e-04,2.666667e-04,-1.837333e-04
-2.750000e-04,3.200000e-03,-8.373333e-05
-2.740000e-04,3.866667e-03,-2.114667e-04
-2.730000e-04,2.533333e-03,-1.506667e-04
-2.720000e-04,5.333333e-04,-1.664000e-04
-2.710000e-04,2.133333e-03,-2.586667e-05
-2.700000e-04,4.133333e-03,-1.797333e-04
-2.690000e-04,2.800000e-03,-7.946666e-05
-2.680000e-04,-8.000000e-04,-9.253333e-05
-2.670000e-04,2.266667e-03,-8.239999e-05
-2.660000e-04,4.266667e-03,-2.285333e-04
-2.650000e-04,2.266667e-03,-6.853333e-05
-2.640000e-04,1.333333e-04,-6.666667e-05
-2.630000e-04,3.066667e-03,-9.333333e-05
-2.620000e-04,4.266667e-03,-2.466667e-04
-2.610000e-04,1.466667e-03,-1.634667e-04
-2.600000e-04,1.466667e-03,-1.234667e-04
